user_id,post_interval_std,likes_per_hour,comments_per_hour,repost_ratio,follower_following_ratio,account_age_days,profile_completeness,unique_word_ratio,avg_sentiment_score,burst_flag,network_overlap_score,night_activity_ratio,hashtag_reuse_rate,avg_response_time_sec,is_bot
0,25.57,149,70,0.991,0.047,147,0.11,0.19,0.022,1,0.909,0.886,0.977,3.39,1
1,5.89,111,116,0.792,0.101,91,0.27,0.28,-0.017,1,0.802,0.431,0.662,2.98,1
2,350.37,26,3,0.19,4.681,624,0.77,0.72,0.929,1,0.264,0.022,0.201,3951.07,0
3,3.1,130,78,0.871,0.285,54,0.32,0.13,0.021,1,0.919,0.799,0.91,5.72,1
4,1509.56,25,3,0.364,3.559,1245,0.73,0.64,0.921,0,0.157,0.055,0.071,41308.26,0
5,3.6,180,90,0.716,0.276,139,0.36,0.15,-0.035,1,0.685,0.806,0.909,2.31,1
6,19.29,173,107,0.886,0.074,7,0.14,0.15,-0.023,1,0.844,0.817,0.884,2.01,1
7,1.19,105,126,0.987,0.287,26,0.32,0.24,0.071,0,0.882,0.652,0.932,5.57,1
8,22.36,101,87,0.969,0.24,175,0.12,0.21,-0.069,1,0.743,0.856,0.826,2.64,1
9,23.76,155,103,0.973,0.283,141,0.1,0.23,0.019,1,0.781,0.523,0.916,6.71,1
10,1444.18,39,4,0.151,0.994,1767,0.81,0.77,-0.577,0,0.179,0.078,0.179,17632.8,0
11,18.82,167,123,0.752,0.175,163,0.35,0.15,-0.015,1,0.602,0.494,0.602,7.48,1
12,4.11,170,81,0.987,0.258,86,0.24,0.11,-0.063,1,0.946,0.841,0.628,4.77,1
13,7.66,124,71,0.721,0.095,103,0.2,0.11,-0.093,1,0.821,0.792,0.879,9.17,1
14,1249.04,32,19,0.347,4.648,2993,0.62,0.86,0.204,0,0.073,0.08,0.355,41572.56,0
15,1883.46,30,5,0.226,1.218,2594,0.6,0.85,0.725,0,0.302,0.116,0.307,41898.0,0
16,8.67,180,78,0.845,0.216,160,0.39,0.26,0.074,1,0.731,0.751,0.776,3.59,1
17,1152.39,6,19,0.336,1.902,1311,0.66,0.81,0.001,0,0.134,0.036,0.064,68897.39,0
18,23.27,113,126,0.896,0.096,59,0.31,0.16,-0.098,1,0.645,0.73,0.97,9.72,1
19,873.1,10,8,0.129,3.863,740,0.64,0.86,-0.869,1,0.248,0.15,0.165,64729.11,0
20,965.14,29,12,0.313,3.854,713,0.78,0.61,-0.154,0,0.389,0.024,0.184,34274.03,0
21,386.84,9,4,0.259,4.8,634,0.77,0.63,0.917,0,0.052,0.124,0.283,42120.39,0
22,15.16,95,50,0.825,0.295,21,0.32,0.16,0.099,1,0.862,0.465,0.875,1.84,1
23,378.62,14,7,0.296,2.471,2702,0.57,0.62,0.837,0,0.262,0.192,0.153,40481.34,0
24,1301.35,7,1,0.145,3.685,1277,0.77,0.85,0.941,0,0.219,0.23,0.399,76793.32,0
25,2.68,170,99,0.846,0.239,127,0.22,0.22,0.0,1,0.932,0.856,0.702,7.95,1
26,608.92,20,16,0.114,1.052,1925,0.59,0.94,-0.336,0,0.343,0.292,0.084,10673.61,0
27,663.37,32,11,0.346,4.252,2308,0.78,0.96,0.829,0,0.043,0.175,0.339,82467.13,0
28,8.36,199,108,0.894,0.125,23,0.27,0.11,-0.065,1,0.825,0.875,0.629,3.66,1
29,28.21,129,138,0.992,0.021,25,0.16,0.1,-0.052,1,0.692,0.655,0.955,7.24,1
30,25.44,150,143,0.994,0.081,59,0.26,0.16,0.095,1,0.893,0.867,0.739,9.11,1
